,[IDX] KOSPI,[IDX] KOSDAQ,[US] 한국 추종 ETF,[IDX] 닛케이225,[IDX] 항셍,[IDX] 상하이종합,[IDX] 대만가권,[KR] 삼성전자,[KR] SK하이닉스,[KR] 현대차,[KR] 두산에너빌리티,[KR] 현대로템,[KR] 네이버,[KR] 카카오,[KR] LG전자,[KR] KODEX 2차전지산업,[KR] KODEX 자동차,[KR] TIGER 200 건설,[KR] TIGER 의료기기,[KR] TIGER 반도체,[KR] TIGER 증권,[KR] TIGER 헬스케어,[KR] TIGER 은행,[IDX] 다우 존스,[IDX] S&P 500,[US] S&P500,[IDX] 러셀 2000,[US] 러셀,[US] 미국 전체,[IDX] NASDAQ,[US] 나스닥,[US] 나스닥 레버리지,[US] 미국 반도체,[US] 엔비디아,[US] 마이크론,[US] 브로드컴,[US] 인텔,[US] AMD,[US] 퀄컴,[US] 시게이트,[US] 웨스턴디지털,[US] 애플,[US] 마이크로소프트,[US] 구글,[US] 테슬라,[US] 월마트,[US] 코카콜라,[US] 제타,[US] 이즈코프,[US] 금,[US] 은,[US] 미국 오일 펀드,[US] 원자재 펀드
[IDX] KOSPI,1.0,-0.35642114201117914,0.9705575808384503,0.9212556317333044,0.9474690336116635,0.8495321579051566,0.8079377065716931,0.011970614476751315,0.9423200785138904,0.14171561806620508,0.979126898395158,0.9833634434781371,0.4109106230124248,0.7492740195792588,-0.9167039584177675,-0.7095222419439906,0.8758255031643346,0.9760412738984975,0.4788899329784171,0.8009086655497543,0.9749020608004618,0.7909252065746125,0.9350607444818337,0.8897700584866662,0.9047879919039671,0.9047204081354867,0.8395698011006669,0.8410361895719305,0.9078444488978674,0.9318732278519178,0.9278227477664338,0.9220917936102226,0.8103389651770122,0.895537867291279,0.8439651500146529,0.9688714089873598,-0.4601456368654529,0.8718009224057749,0.4016177785308246,0.9551788916474218,0.965305372308564,0.6353050308018987,0.9280214324764416,0.9205968120789002,0.9010876856110688,0.9447496000900079,0.6110729836656265,0.3163803804947607,0.9419541483144288,0.9529435320840522,0.9621871905096504,0.11412218711771083,0.8586378293082191
[IDX] KOSDAQ,-0.35642114201117914,1.0,-0.2850103819729094,-0.6131976783159547,-0.11828473666857622,0.07194289262803928,-0.7956866496887639,-0.6624021104743084,-0.6238423292657324,-0.8424740383354161,-0.29921396331835276,-0.40355249612056915,0.6243382797658283,0.24570092493258097,0.484460540593509,0.8981323272124315,-0.623213169080901,-0.19187751843666037,0.606900388329831,-0.5178625189280026,-0.5385546106512599,-0.8184600689499016,-0.6580088761876239,-0.7216680642441341,-0.7054146985983196,-0.7051447355413804,-0.7021477668635171,-0.7000185790310326,-0.6991961893032591,-0.6567840356953266,-0.6641393087508274,-0.6542400265781307,-0.779644461799089,-0.7196682316608692,-0.732236854396164,-0.5573388695431878,0.9453619390974941,-0.7068419921623045,-0.8989654632105983,-0.5887321853631765,-0.5655997037955873,-0.8074762828286183,-0.6642074066132958,-0.6653556608971669,0.009138636912146877,-0.6221917469700641,-0.9027922345323619,-0.9216686527510131,-0.6132880191620217,-0.6132919875140884,-0.5663941657727141,-0.4726643570785421,-0.013820141501688983
[US] 한국 추종 ETF,0.9705575808384503,-0.2850103819729094,1.0,0.901665288564111,0.9217751649720014,0.8198346467089752,0.778760873066097,0.04121021918928866,0.8958658062793964,0.14901799729323276,0.9274933179882741,0.9289348905412574,0.4148462871064283,0.7277274580982279,-0.8251963579779634,-0.6376917478979416,0.8583487449082443,0.9462261353290314,0.5031999727215113,0.8144589646052635,0.9258816365710794,0.7522051034770557,0.8867835204194814,0.8581940740131482,0.8697790641901,0.8697564304153681,0.8385258688442894,0.8401101617000859,0.8741508488990487,0.8970483574666415,0.8929952804919639,0.8997210017522815,0.794630851541995,0.8552502567774137,0.8187947972621692,0.923902994984605,-0.4065557691571567,0.862763185562594,0.4079600510173958,0.9065137259654403,0.9194120775794266,0.6424760322519524,0.8829398887130608,0.8716811284486075,0.8922931618243567,0.9046787123582659,0.5963705699671524,0.3037495616517832,0.903586404012332,0.9038236939269265,0.9228587411476575,0.08811990754242038,0.8418381217894385
[IDX] 닛케이225,0.9212556317333044,-0.6131976783159547,0.901665288564111,1.0,0.7768982221834957,0.623983427715657,0.9508741313413807,0.3226237558744641,0.9713425293641926,0.4916974261662743,0.8515583890448827,0.8909952457442132,0.06174616512427413,0.48564382051562205,-0.8438192067234754,-0.8729739387726296,0.9707415467825083,0.8249250539861507,0.1828491906628703,0.8873552244445537,0.9531228527540415,0.9360072576424745,0.9734279060433635,0.979400941586917,0.980293618611453,0.9805338393379307,0.9606288174426756,0.961539170266127,0.981552434279482,0.9813725861222631,0.9806362887131987,0.9846547046077105,0.9521942433962576,0.9713760245210625,0.9596533239236081,0.9579963824740516,-0.6755753273435626,0.9568071076526148,0.6939353155611548,0.9643145579803222,0.9603780400661842,0.8607162465992891,0.9627559661614384,0.9702134713359878,0.7122702514574402,0.9698806784034019,0.8310995714435202,0.6210052580563615,0.9679636977208572,0.9620776897541458,0.965204133730261,0.2887540623301228,0.6862181052863884
[IDX] 항셍,0.9474690336116635,-0.11828473666857622,0.9217751649720014,0.7768982221834957,1.0,0.9656765525334051,0.6025679571334228,-0.2861686384318765,0.8071767712862885,-0.15439447572702414,0.971612593664421,0.9439115566290571,0.6523164714255263,0.9075452116465103,-0.8815193122846359,-0.4908129855407893,0.6985215580827427,0.9855022312837991,0.6820101816655969,0.6093028681088525,0.8821164961194985,0.58000664550278,0.7961197782512452,0.7281751005878103,0.7471281731799765,0.7471328175541058,0.6698818551697635,0.6722161024401678,0.7523174179185014,0.7910651219106236,0.7835530351708226,0.7701748613022572,0.6050558272279754,0.7319447978771204,0.6526837581388896,0.8721400979771416,-0.20097473369311325,0.7064478916021375,0.1289307900472193,0.8517261439065109,0.8682543920335603,0.40271034582477033,0.7869422158843385,0.7837189052439087,0.9784659358949429,0.8216278390999906,0.3713456255647108,0.03092996979899697,0.8353120845844956,0.8406110917731925,0.8571187407762191,-0.08776320842654431,0.926870769019756
[IDX] 상하이종합,0.8495321579051566,0.07194289262803928,0.8198346467089752,0.623983427715657,0.9656765525334051,1.0,0.4219274882070602,-0.4498052797828815,0.6590229486958363,-0.34704982663506867,0.8971023032191593,0.8482220936311469,0.7720512810262221,0.9697943758973023,-0.7937683679280937,-0.3007361336516283,0.5459335335826662,0.9284713202052314,0.7856533352115366,0.4634843802953928,0.7525430676213634,0.38386851717785564,0.6406225979693806,0.5666044618415506,0.584102806194011,0.5841982972384774,0.5156245249123312,0.5183128724168119,0.5909037317171951,0.6372068153109012,0.6265452921649655,0.6089280997755424,0.42000747683237033,0.5632493836840582,0.48294006367356784,0.7416338597138454,0.019344788768757063,0.5240754073924594,-0.07008539469971303,0.727566912811756,0.7433380246505049,0.21720776729848276,0.6275592996845031,0.6442162871779116,0.9751318402868965,0.6668090634558141,0.15617705075604038,-0.17041037162660846,0.7064367444324537,0.7027762821582787,0.7260696197079007,-0.203053106655085,0.9214610210559552
[IDX] 대만가권,0.8079377065716931,-0.7956866496887639,0.778760873066097,0.9508741313413807,0.6025679571334228,0.4219274882070602,1.0,0.5196938952107597,0.9453092430983083,0.673695685025614,0.7277955031201258,0.7948514370921365,-0.18412148899677028,0.25949723914828565,-0.7766661752748812,-0.9700509958189082,0.948323342218327,0.6759870824036182,-0.08276257835010396,0.8833173761065061,0.8916575366527677,0.9922421822150959,0.9536367025166224,0.9788743417880801,0.9759649162452071,0.9758496622074818,0.9612183988871253,0.9606455176846926,0.9742826471012183,0.9593157305606991,0.9618318223479997,0.9635668112475013,0.9896938632326819,0.9760929527913682,0.9804593268421877,0.9019111431472007,-0.8489967101000991,0.963349229386731,0.8451460216454768,0.9155721791684704,0.9062431363106436,0.9381508406875095,0.9518893212953824,0.9532771128393994,0.5189128787070189,0.9317578551352464,0.9418386606778802,0.8022428253839218,0.9273005102166006,0.925834410186385,0.9098526064549849,0.39262348112615575,0.5080927536091232
[KR] 삼성전자,0.011970614476751315,-0.6624021104743084,0.04121021918928866,0.3226237558744641,-0.2861686384318765,-0.4498052797828815,0.5196938952107597,1.0,0.2669280346254884,0.9205878797609586,-0.14663579185633932,-0.05460409831468083,-0.7987832613148421,-0.5633217822890079,0.0833813512085426,-0.5342352267404458,0.42450518605068793,-0.1843100596752743,-0.7029130372823318,0.5280476639670659,0.11432753864069023,0.5168915696654741,0.272201174931132,0.36963272626753507,0.3434363971836273,0.3428764346594313,0.4401604340335442,0.4361236095408982,0.33770597601311086,0.2860459746042783,0.29456135178057885,0.3222890851450022,0.5098756128657493,0.3491754605123777,0.46585267031867894,0.13279319957774474,-0.6585871498415009,0.38778808423139505,0.8235227186027755,0.16706638345994343,0.14079659789803006,0.6680538621792153,0.27350484314409573,0.28155492936253856,-0.3509063798959463,0.2135769551149537,0.6620926878764404,0.8402483624703648,0.19850018755398388,0.18701914123246405,0.1607588030928141,0.4890247757637406,-0.34836927834197035
[KR] SK하이닉스,0.9423200785138904,-0.6238423292657324,0.8958658062793964,0.9713425293641926,0.8071767712862885,0.6590229486958363,0.9453092430983083,0.2669280346254884,1.0,0.4175283909780183,0.9021750331660938,0.9407451699816127,0.10201864296638342,0.5161151757281339,-0.9155746504234471,-0.8947204965988265,0.9398619923497046,0.8585487542674312,0.19037350072955786,0.8814800719840399,0.984106083431225,0.9324873897204521,0.9931173311515398,0.9760693508169237,0.9864435342915507,0.9863129930398657,0.926661434306018,0.9271462838871875,0.9864195671693875,0.9932984978362166,0.9931360743457811,0.988687742417734,0.9428104540525952,0.9861599292115594,0.9625144181619413,0.9878684515068827,-0.7044385415867821,0.9664536463857198,0.6484665067038452,0.9869026708304119,0.9859720345496306,0.8116973698393491,0.9929676535474569,0.9870750164013266,0.7354967253903765,0.9868336393739822,0.8037532780810213,0.5813568701844002,0.9813797368900028,0.990559925076369,0.984002341134824,0.25186620277472727,0.6966088583678044
[KR] 현대차,0.14171561806620508,-0.8424740383354161,0.14901799729323276,0.4916974261662743,-0.15439447572702414,-0.34704982663506867,0.673695685025614,0.9205878797609586,0.4175283909780183,1.0,0.002000126376593163,0.10991265976090378,-0.8135121740332861,-0.4977406847322612,-0.11908031848461495,-0.7119757443891164,0.5636599536820375,-0.05863276418514929,-0.7025281507728958,0.5485740088960562,0.28693416479812434,0.6906238228423939,0.44049562444866236,0.5505666654504079,0.520072105559207,0.5200715279074596,0.6085221331590615,0.6056476740878918,0.515096622225903,0.45759032040127956,0.4661804496406072,0.48584271055564504,0.672419451691546,0.5228594296445741,0.6053877366896913,0.3046381466806218,-0.8180780602723685,0.5468207798778298,0.9455175818479803,0.3467455963062074,0.32037364718146505,0.8081739649398183,0.43858571858145456,0.4528931826977844,-0.24499349073349397,0.39170571495283546,0.8300218182296131,0.9634605185266909,0.385680950671995,0.3654122881079084,0.33578550836480325,0.5681887186774432,-0.20957471618450782
