Date,Open,High,Low,Close,Volume
1995-05-02,896.16,906.86,896.16,906.04,29127080
1995-05-03,906.02,929.83,906.02,920.73,32060260
1995-05-04,920.66,929.08,920.66,922.05,28524250
1995-05-06,921.57,927.36,918.45,918.46,16102620
1995-05-08,917.84,917.84,909.47,910.39,20899020
1995-05-09,910.2,914.52,901.86,903.01,21157120
1995-05-10,903.18,904.6,891.77,891.87,15925170
1995-05-11,891.15,893.17,884.13,884.79,18953750
1995-05-12,884.33,889.11,878.49,886.11,19513790
1995-05-13,886.74,896.3,886.74,890.11,21292380
1995-05-15,890.23,894.48,887.09,887.11,24671830
1995-05-16,887.49,891.05,884.8,885.33,18832910
1995-05-17,885.04,892.91,884.53,886.2,20734290
1995-05-18,885.41,888.4,879.57,880.4,17311830
1995-05-19,881.03,883.88,875.02,876.01,16372600
1995-05-20,876.32,876.32,869.63,875.68,9714210
1995-05-22,875.0,875.0,863.64,864.13,11841760
1995-05-23,862.83,865.12,856.89,856.89,16552030
1995-05-24,857.12,859.25,847.26,848.63,15894070
1995-05-25,848.17,862.18,839.81,862.18,19776030
1995-05-26,861.54,861.54,850.28,850.76,17438250
1995-05-27,850.74,850.74,843.7,847.09,9333930
1995-05-29,850.36,888.28,850.36,887.5,30181400
1995-05-30,881.44,881.8,877.77,881.8,2405310
1995-05-31,881.44,883.9,877.77,882.5,25589450
1995-06-01,882.57,891.8,882.57,891.43,25558390
1995-06-02,891.45,902.93,891.45,894.24,22859600
1995-06-03,894.14,894.14,887.74,890.08,15024320
1995-06-05,889.31,899.13,888.53,899.04,21867920
1995-06-07,898.98,904.94,897.83,899.36,20695460
1995-06-08,899.61,903.62,890.61,890.68,19349790
1995-06-09,889.92,890.79,885.15,886.83,19130620
1995-06-10,887.19,891.71,886.17,886.31,11963450
1995-06-12,884.6,887.84,883.98,884.4,15940340
1995-06-13,887.08,892.57,887.08,887.32,17932900
1995-06-14,887.99,890.23,884.72,886.56,19556550
1995-06-15,885.83,886.56,880.9,880.91,20310850
1995-06-16,880.8,882.31,877.61,879.24,18816380
1995-06-17,879.28,882.79,879.28,880.67,14825130
1995-06-19,880.87,886.31,879.92,886.31,20992310
1995-06-20,885.79,888.81,883.16,884.35,20841720
1995-06-21,883.49,883.69,878.59,878.82,19343930
1995-06-22,877.65,879.32,869.34,871.18,18384010
1995-06-23,871.14,873.14,866.13,871.96,17978810
1995-06-24,872.0,874.9,869.07,872.46,13813190
